B0001|M1001|Q001|1|Booked|05/05/2024|12:30:00|12/12/2024|E-Wallet|05/05/2024|15:34:00|9.99
B0002|M1001|Q002|3|Booked|07/05/2024|15:40:00|01/01/2025|E-Wallet|07/05/2024|15:40:00|21.00
B0003|M1001|Q002|1|Booked|05/05/2024|06:31:16|02/12/2024|Credit Card|05/05/2024|06:31:16|7.00
B0004|M1010|Q020|5|Booked|05/05/2024|07:57:40|02/02/2025|Credit Card|05/05/2024|07:57:40|36.00
B0005|M1010|Q024|2|Booked|05/05/2024|07:58:41|02/02/2025|Credit Card|05/05/2024|07:58:41|15.00
B0006|M1010|Q011|5|Booked|05/05/2024|07:59:34|12/11/2024|E-Wallet|05/05/2024|07:59:34|32.75
B0007|M1010|Q021|1|Booked|05/05/2024|07:59:34|21/01/2025|Debit Card|05/05/2024|07:59:34|6.25
B0008|M1010|Q005|3|Booked|05/05/2024|07:59:34|12/06/2024|Credit Card|05/05/2024|07:59:34|22.50
B0009|M1010|Q008|4|Booked|05/05/2024|15:57:39|01/08/2024|Credit Card|05/05/2024|15:57:39|29.00
B0010|M1011|Q020|5|Booked|05/05/2024|18:37:53|01/07/2024|E-Wallet|05/05/2024|18:37:53|36.00
B0011|M1001|Q012|2|Booked|05/05/2024|18:49:41|24/06/2024|Debit Card|05/05/2024|18:49:41|14.30
B0012|M1002|Q007|4|Booked|05/05/2024|21:27:34|21/07/2024|Credit Card|05/05/2024|21:27:34|27.00
B0013|M1002|Q008|2|Booked|05/05/2024|21:27:34|08/08/2024|Debit Card|05/05/2024|21:27:34|14.50
B0014|M1002|Q028|3|Booked|05/05/2024|21:27:34|04/07/2024|E-Wallet|05/05/2024|21:27:34|18.00
B0015|M1002|Q033|5|Booked|05/05/2024|21:27:34|12/07/2024|Credit Card|05/05/2024|21:27:34|32.75
B0016|M1003|Q021|1|Booked|05/05/2024|21:31:35|15/09/2024|E-Wallet|05/05/2024|21:31:35|6.25
B0017|M1004|Q010|2|Booked|05/05/2024|21:31:56|05/07/2024|Credit Card|05/05/2024|21:31:56|14.20
B0018|M1004|Q030|1|Booked|05/05/2024|21:31:56|25/07/2024|Credit Card|05/05/2024|21:31:56|7.25
